Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Pets,Price,Latitude,Longitude,Date,Url,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,A1,0,1.0,429.0,1,2750,49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C5,1,1.0,521.0,1,2884,49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C3,1,1.0,491.0,1,2894,49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C4,1,1.0,525.0,1,3244,49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2,2.0,733.0,1,3478,49.27629015994012,-123.11607662108688,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1,0,1,1,1,1,0,1,0,0,0,0,0,1
Flamingo,West End Apartments,"2061 Beach Ave, Vancouver, BC V6G 1Z3",Vancouver,00101,2,1.5,955.0,0,3695,49.29012170460759,-123.1451313664324,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220485/flamingo-apartments-at-2061-beach-ave-vancouver-bc-v6g-1z3,0,1,0,0,0,1,0,0,1,0,1,0,1
Flamingo,West End Apartments,"2061 Beach Ave, Vancouver, BC V6G 1Z3",Vancouver,00401,2,2.0,955.0,0,3995,49.29012170460759,-123.1451313664324,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220485/flamingo-apartments-at-2061-beach-ave-vancouver-bc-v6g-1z3,0,1,0,0,0,1,0,0,1,0,1,0,1
Flamingo,West End Apartments,"2061 Beach Ave, Vancouver, BC V6G 1Z3",Vancouver,G1,2,1.0,1008.0,0,4495,49.29012170460759,-123.1451313664324,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220485/flamingo-apartments-at-2061-beach-ave-vancouver-bc-v6g-1z3,0,1,0,0,0,1,0,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00903,0,1.0,450.0,0,2295,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00305,1,1.0,500.0,0,2295,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,01203,1,1.0,450.0,0,2495,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00405,1,1.0,500.0,0,2550,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00202,1,1.0,670.0,0,2695,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00902,1,1.0,670.0,0,2895,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00802,1,1.0,670.0,0,2995,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,01201,2,1.0,885.0,0,3995,49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3,0,1,0,0,0,1,1,0,1,0,1,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C5,1,1.0,657.0,1,3653,49.290127325072326,-123.1290959286057,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3,0,1,1,0,0,1,0,0,0,0,0,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,I1,2,2.0,921.0,1,4575,49.290127325072326,-123.1290959286057,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3,0,1,1,0,0,1,0,0,0,0,0,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,I1,2,2.0,921.0,1,4578,49.290127325072326,-123.1290959286057,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3,0,1,1,0,0,1,0,0,0,0,0,0,1
Victoria Mews,Victoria,"1933 41st Ave E, Vancouver, BC V5P 4Y4",Vancouver,2-Bedroom 1-Bath,2,1.0,786.0,1,2950,49.23272502062147,-123.06663636542636,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p447788/victoria-mews-apartments-at-1933-41st-ave-e-vancouver-bc-v5p-4y4,0,0,0,0,0,1,0,0,1,0,1,0,1
Victoria Mews,Victoria,"1933 41st Ave E, Vancouver, BC V5P 4Y4",Vancouver,2-Bedroom 1.5-Bath Unit With Den,2,1.0,1227.0,1,3650,49.23272502062147,-123.06663636542636,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p447788/victoria-mews-apartments-at-1933-41st-ave-e-vancouver-bc-v5p-4y4,0,0,0,0,0,1,0,0,1,0,1,0,1
8675 French,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan G (Jr. 1 Bed),1,1.0,460.0,1,2199,49.20747848476663,-123.13930776333687,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220475/apartments-at-8675-french-st-vancouver-bc-v6p-4w5,0,0,0,0,0,1,0,0,1,0,1,0,0
